epoch,phase,loss,l_tau,l_fri,l_E
1,S0-W,1.71455317735672,1.71455317735672,0.0,114.15912771224976
50,S0-W,1.3104864917695522,1.3104864917695522,0.0,27.559510469436646
100,S0-W,1.2182598561048508,1.2182598561048508,0.0,28.251507818698883
150,S0-W,1.2046931684017181,1.2046931684017181,0.0,27.765492141246796
200,S0-W,1.1974199824035168,1.1974199824035168,0.0,26.99104630947113
250,S0-W,1.1886882036924362,1.1886882036924362,0.0,27.065588176250458
300,S0-W,1.1812927462160587,1.1812927462160587,0.0,27.248008251190186
350,S0-W,1.1780326925218105,1.1780326925218105,0.0,27.100906670093536
400,S0-W,1.175877258181572,1.175877258181572,0.0,27.227815449237823
450,S1,0.5110596371814609,0.4592494387179613,0.0,0.051810200326144695
500,S1,0.42393649369478226,0.3809168888255954,0.0,0.043019602657295763
550,S1,0.3796238927170634,0.3421935709193349,0.0,0.037430323427543044
600,S1,0.36555243749171495,0.3324237233027816,0.0,0.0331287122098729
650,S1,0.3498558131977916,0.318297965452075,0.0,0.03155784565024078
700,S1,0.3341332897543907,0.3060857364907861,0.0,0.028047554777003825
750,S1,0.32334098778665066,0.297623953782022,0.0,0.02571703464491293
800,S1,0.3197423443198204,0.2940841782838106,0.0,0.025658164988271892
850,S1,0.31387859582901,0.2892631748691201,0.0,0.02461542160017416
900,S1,0.30578109063208103,0.28306791838258505,0.0,0.02271317335544154
950,S1,0.2998942397534847,0.2789557734504342,0.0,0.02093846572097391
1000,S1,0.29604495223611593,0.27656830567866564,0.0,0.019476644578389823
1050,S1,0.2884957417845726,0.27041218150407076,0.0,0.01808356135734357
1100,S1,0.2807536767795682,0.2640476697124541,0.0,0.016706008405890316
1150,S1,0.2749623404815793,0.2591948644258082,0.0,0.015767476026667282
1200,S1,0.2729142205789685,0.2580537125468254,0.0,0.014860509167192504
1250,S1,0.2563373055309057,0.24293500185012817,0.0,0.013402300712186843
1300,S1,0.24997564358636737,0.2375258533284068,0.0,0.012449789937818423
1350,S1,0.24469784228131175,0.2323771184310317,0.0,0.01232072402490303
1400,S1,0.23981833783909678,0.2282857447862625,0.0,0.011532592470757663
1450,S1,0.2374925292097032,0.22578917304053903,0.0,0.011703354975907132
1500,S1,0.2329497840255499,0.22191348345950246,0.0,0.011036298354156315
1550,S1,0.22811475303024054,0.21734968200325966,0.0,0.010765071725472808
1600,S1,0.2245618407614529,0.21407454647123814,0.0,0.010487293096957728
1650,S1,0.22121902788057923,0.211176794487983,0.0,0.01004223337804433
1700,S1,0.21753171691671014,0.20750254346057773,0.0,0.010029171331552789
1750,S1,0.21243246644735336,0.20283148856833577,0.0,0.009600977413356304
1800,S1,0.2096267663873732,0.20020147319883108,0.0,0.009425292446394451
1850,S1,0.20393083337694407,0.19520296342670918,0.0,0.008727868378628045
1900,S1,0.20438639726489782,0.19545037997886539,0.0,0.008936017955420539
1950,S1,0.19796566711738706,0.18972391914576292,0.0,0.008241747447755188
2000,S1,0.19849415216594934,0.19031187240034342,0.0,0.00818227899435442
2050,S1,0.19384201569482684,0.18611574405804276,0.0,0.00772627440164797
2100,S1,0.18995398189872503,0.18251303769648075,0.0,0.007440944449626841
2150,S1,0.190756153780967,0.1828697845339775,0.0,0.007886370032792911
2200,S1,0.18576244078576565,0.17863085819408298,0.0,0.007131581602152437
2250,S1,0.1809591851197183,0.17402300937101245,0.0,0.006936176519957371
2300,S1,0.18116672104224563,0.17443716572597623,0.0,0.0067295546032255515
2350,S1,0.1766170603223145,0.17049159575253725,0.0,0.006125464002252556
2400,S1,0.17497097281739116,0.16880433959886432,0.0,0.00616663288383279
2450,S1,0.17094855336472392,0.16531620221212506,0.0,0.005632351676467806
2500,S1,0.16974636586382985,0.16409651329740882,0.0,0.005649851722409949
2550,S1,0.17176222428679466,0.16583511419594288,0.0,0.0059271114150760695
2600,S1,0.16623176541179419,0.1610269472002983,0.0,0.005204817629419267
2650,S1,0.16466279048472643,0.15955532854422927,0.0,0.0051074632210657
2700,S1,0.16240396164357662,0.15729216486215591,0.0,0.005111796490382403
2750,S1,0.16157813370227814,0.15648351842537522,0.0,0.005094614854897372
2800,S1,0.16098734829574823,0.15579429641366005,0.0,0.005193051038077101
2850,S1,0.15916505828499794,0.15424347529187799,0.0,0.004921583196846768
2900,S1,0.15712641831487417,0.15233301324769855,0.0,0.004793404747033492
2950,S1,0.15789329446852207,0.1529833455570042,0.0,0.00490994820574997
3000,S1,0.15191191621124744,0.14692946709692478,0.0,0.004982447127986234
3050,S1,0.15292055206373334,0.148141844663769,0.0,0.004778705566423014
3100,S1,0.15000363998115063,0.145400517154485,0.0,0.0046031210804358125
3150,S1,0.14893966307863593,0.14409801131114364,0.0,0.004841651316382922
3200,S1,0.14167272252961993,0.13723960029892623,0.0,0.004433121714100707
3250,S1,0.13832417130470276,0.13398086815141141,0.0,0.00434330383723136
3300,S1,0.13959229830652475,0.13539447798393667,0.0,0.004197820766421501
3350,S1,0.14113786863163114,0.13691999553702772,0.0,0.004217871966829989
3400,S1,0.13659050245769322,0.13240945152938366,0.0,0.004181050659099128
3450,S1,0.1352207101881504,0.13108963961713016,0.0,0.004131070265430026
3500,S1,0.1359208191279322,0.13186620781198144,0.0,0.004054611265019048
3550,S1,0.13253376027569175,0.12869926681742072,0.0,0.0038344932690961286
3600,S1,0.13282900676131248,0.12917059962637722,0.0,0.003658407680632081
3650,S1,0.13060512230731547,0.12690728344023228,0.0,0.003697838146763388
3700,S1,0.12988282670266926,0.12633346277289093,0.0,0.0035493644900270738
3750,S1,0.13312200363725424,0.12927368329837918,0.0,0.003848320608085487
3800,S1,0.12993257492780685,0.12609724095091224,0.0,0.003835334297036752
3850,S1,0.12964411755092442,0.12587423133663833,0.0,0.00376988691277802
3900,S1,0.1327683578711003,0.1288549432065338,0.0,0.003913415624992922
3950,S1,0.13129752967506647,0.1273746620863676,0.0,0.003922868527297396
4000,S1,0.12770340451970696,0.1241029656957835,0.0,0.003600438321882393
4050,S1,0.12598844338208437,0.12246121326461434,0.0,0.0035272296372568235
4100,S1,0.1292526233009994,0.12540506245568395,0.0,0.003847560270514805
4150,S1,0.1285233711823821,0.12504076538607478,0.0,0.0034826052651624195
4200,S1,0.1263135049957782,0.12285255244933069,0.0,0.003460953557805624
4250,S1,0.12657138030044734,0.12289266684092581,0.0,0.0036787131903111003
4300,S1,0.12443473539315164,0.12103005964308977,0.0,0.0034046757864416577
4350,S1,0.11715543153695762,0.11368511151522398,0.0,0.003470319716143422
4400,S1,0.11700433492660522,0.11351840058341622,0.0,0.003485934459604323
4450,S1,0.11614797683432698,0.11280703102238476,0.0,0.0033409453026251867
4500,S1,0.11436463333666325,0.11117133172228932,0.0,0.0031933020654832944
4550,S1,0.11604085215367377,0.11268862569704652,0.0,0.003352226805873215
4600,S1,0.11359500419348478,0.11031644768081605,0.0,0.0032785562143544666
4650,S1,0.11413125088438392,0.11068846378475428,0.0,0.0034427867212798446
4700,S1,0.11562142777256668,0.11209124675951898,0.0,0.003530180641973857
4750,S1,0.11346193589270115,0.11015036655589938,0.0,0.003311569889774546
4800,S1,0.11471551773138344,0.1112993499264121,0.0,0.0034161678559030406
4850,S1,0.11202580644749105,0.10874443128705025,0.0,0.0032813750294735655
4900,S1,0.11562116374261677,0.11204621917568147,0.0,0.003574944188585505
4950,S1,0.11083033587783575,0.10765421343967319,0.0,0.003176122554577887
5000,S1,0.1158297338988632,0.11214457941241562,0.0,0.003685155046696309
5050,S1,0.11556460382416844,0.11229678592644632,0.0,0.0032678180359653197
5100,S1,0.11071030679158866,0.10758079099468887,0.0,0.003129516124317888
5150,S1,0.11288870149292052,0.1094346425961703,0.0,0.0034540578999440186
5200,S1,0.11164194322191179,0.10848644305951893,0.0,0.0031555002206005156
5250,S1,0.11068349052220583,0.10744061996228993,0.0,0.003242870319809299
5300,S1,0.1094778566621244,0.10640376573428512,0.0,0.0030740907750441693
5350,S1,0.1088005208875984,0.10564659954980016,0.0,0.0031539214178337716
5400,S1,0.10893281432799995,0.10582391382195055,0.0,0.0031089006952242926
5450,S1,0.11071046302095056,0.10746383713558316,0.0,0.0032466264528920874
5500,S1,0.10831200773827732,0.10524375131353736,0.0,0.003068257312406786
5550,S1,0.110586351249367,0.10740780597552657,0.0,0.003178545317496173
5600,S1,0.10900768684223294,0.10580812976695597,0.0,0.0031995570025173947
5650,S1,0.10932667856104672,0.10619787056930363,0.0,0.0031288084283005446
5700,S1,0.10798701271414757,0.1050044265575707,0.0,0.0029825854289811105
5750,S1,0.10776064498350024,0.10468369675800204,0.0,0.003076948611123953
