epoch,phase,loss,l_tau,l_fri,l_E
1,S0-W,2.636650189757347,1.7279984802007675,0.9086517207324505,637.205717086792
50,S0-W,2.0757126584649086,1.6879715211689472,0.3877411326393485,717.6293563842773
100,S0-W,2.046123780310154,1.6773858554661274,0.36873794347047806,835.2275905609131
150,S0-W,2.035511441528797,1.6705063432455063,0.365005100145936,915.7069053649902
200,S0-W,2.032215602695942,1.6672025434672832,0.3650130573660135,960.7904396057129
250,S0-W,2.0263236686587334,1.6648742742836475,0.36144938971847296,997.354471206665
300,S0-W,2.0226288363337517,1.6630755923688412,0.35955322720110416,1027.5101146697998
350,S0-W,2.020848624408245,1.6607750356197357,0.3600735832005739,1049.9552364349365
400,S0-W,2.017256673425436,1.6579457186162472,0.35931096132844687,1069.76460647583
450,S1,0.7663086298853159,0.4139923518523574,0.2733403705060482,0.07897590450011194
500,S1,0.6313304845243692,0.35230952873826027,0.22758675180375576,0.05143420770764351
550,S1,0.5788549855351448,0.3304696921259165,0.20539166731759906,0.0429936294676736
600,S1,0.5187661899253726,0.2898348541930318,0.19149439968168736,0.03743692912394181
650,S1,0.4905367251485586,0.27194585045799613,0.18119143461808562,0.03739944100379944
700,S1,0.4656716315075755,0.24875007895752788,0.17776554496958852,0.039156006067059934
750,S1,0.44032681453973055,0.22734199976548553,0.17672462994232774,0.036260186694562435
800,S1,0.4286159351468086,0.22217557206749916,0.17345302365720272,0.03298734041163698
850,S1,0.4058696972206235,0.20179747184738517,0.17192180082201958,0.03215042600641027
900,S1,0.394801733084023,0.19641022197902203,0.16819357173517346,0.030197935120668262
950,S1,0.3969219485297799,0.20006699347868562,0.1644842359237373,0.032370719127357006
1000,S1,0.3821021728217602,0.19259251886978745,0.15931433951482177,0.030195313214790076
1050,S1,0.3833348322659731,0.19601687975227833,0.15724933752790093,0.03006861318135634
1100,S1,0.3770595109090209,0.19155504740774632,0.15446947887539864,0.031034985033329576
1150,S1,0.36787059903144836,0.18606146005913615,0.15331215411424637,0.028496983693912625
1200,S1,0.37270407658070326,0.19180373335257173,0.15061235520988703,0.030287989764474332
1250,S1,0.36865128204226494,0.19009656738489866,0.14927083160728216,0.02928388537839055
1300,S1,0.3592210980132222,0.18413919117301702,0.1459645456634462,0.02911736082751304
1350,S1,0.35709313210099936,0.1851646420545876,0.14531247643753886,0.026616013317834586
1400,S1,0.36311609856784344,0.18773528188467026,0.14653835585340858,0.02884245867608115
1450,S1,0.35697188787162304,0.1842222069390118,0.14442865643650293,0.0283210237394087
1500,S1,0.350576875731349,0.1808797656558454,0.14361085882410407,0.02608625090215355
1550,S1,0.3473635474219918,0.1791607951745391,0.14238894125446677,0.025813809363171458
1600,S1,0.34945875592529774,0.181577252689749,0.1429296093992889,0.024951892031822354
1650,S1,0.3458331851288676,0.17945251520723104,0.14159809285774827,0.02478257636539638
1700,S1,0.34063462261110544,0.17555526969954371,0.14099030010402203,0.024089049838948995
1750,S1,0.3417716445401311,0.1769920652732253,0.13970765098929405,0.025071931711863726
1800,S1,0.34352714754641056,0.17790982080623507,0.1391477440483868,0.026469582749996334
1850,S1,0.3369135642424226,0.17320629302412271,0.13977591320872307,0.023931356729008257
1900,S1,0.3372925966978073,0.17382583860307932,0.13990277145057917,0.023563987051602453
1950,S1,0.3378379689529538,0.1753092221915722,0.13903429731726646,0.023494451597798616
2000,S1,0.3325924454256892,0.17154016578570008,0.13901162892580032,0.02204065484693274
2050,S1,0.3312246222048998,0.1705605313181877,0.13871228648349643,0.021951802831608802
2100,S1,0.3290611645206809,0.16998023679479957,0.1379654873162508,0.021115437877597287
2150,S1,0.32584797963500023,0.1671513277105987,0.13791398610919714,0.020782666717423126
2200,S1,0.326424409635365,0.16809040494263172,0.1373952196445316,0.02093878766754642
2250,S1,0.32105960231274366,0.16561055183410645,0.13640034920535982,0.019048702815780416
2300,S1,0.32076340541243553,0.16700372146442533,0.1349744345061481,0.018785250169457868
2350,S1,0.32325815968215466,0.16882344707846642,0.1344158942811191,0.02001882065087557
2400,S1,0.3206920251250267,0.16881604166701436,0.13323591789230704,0.018640064809005708
2450,S1,0.3156544389203191,0.16542438650503755,0.13150660623796284,0.018723446235526353
2500,S1,0.3239142345264554,0.17139864712953568,0.13157977303490043,0.020935816050041467
2550,S1,0.3091963427141309,0.1643053782172501,0.1281769850756973,0.016713979304768145
2600,S1,0.3107491498813033,0.16540545970201492,0.1271309789735824,0.018212712282547727
2650,S1,0.31228424701839685,0.1681649088859558,0.1262142260093242,0.017905112210428342
2700,S1,0.30301017314195633,0.16153941117227077,0.12468984420411289,0.016780919104348868
2750,S1,0.3001140970736742,0.1609622584655881,0.1232493813149631,0.015902463637758046
2800,S1,0.3075704947113991,0.16607806645333767,0.12263046461157501,0.018861965887481347
2850,S1,0.2990807518362999,0.15882190689444542,0.12301062350161374,0.0172482258931268
2900,S1,0.3000466004014015,0.1603486225940287,0.12235947349108756,0.017338502424536273
2950,S1,0.30153266433626413,0.15982701536267996,0.122226991225034,0.01947865856345743
3000,S1,0.2931504538282752,0.156442538369447,0.1205504855606705,0.016157432401087135
3050,S1,0.3003013413399458,0.16091123316437006,0.12056822283193469,0.0188218871189747
3100,S1,0.29302947130054235,0.1579572856426239,0.11877208622172475,0.016300099407089874
3150,S1,0.2888395255431533,0.1556336204521358,0.1181299202144146,0.015075979521498084
3200,S1,0.2880673110485077,0.1540070716291666,0.11876674089580774,0.015293497534003109
3250,S1,0.2856939369812608,0.15335046546533704,0.11744035105220973,0.014903120492817834
3300,S1,0.2852036328986287,0.15311841247603297,0.11636426905170083,0.015720950992545113
3350,S1,0.2939354879781604,0.1586904632858932,0.11586705199442804,0.01937796876882203
