epoch,phase,loss,l_tau,l_fri,l_E
1,S0-W,1.646007489413023,1.646007489413023,0.0,418.37695026397705
50,S0-W,1.6368031054735184,1.6368031054735184,0.0,418.3301296234131
100,S0-W,1.630787506699562,1.630787506699562,0.0,418.5248680114746
150,S0-W,1.6255567707121372,1.6255567707121372,0.0,418.2406949996948
200,S0-W,1.6203926131129265,1.6203926131129265,0.0,418.54866886138916
250,S0-W,1.6144116446375847,1.6144116446375847,0.0,419.5508098602295
300,S0-W,1.6076188161969185,1.6076188161969185,0.0,420.97350311279297
350,S0-W,1.6002122201025486,1.6002122201025486,0.0,422.5706615447998
400,S0-W,1.5802650451660156,1.5802650451660156,0.0,427.26535511016846
450,S1,4.488443851470947,1.203799244016409,0.0,3.2846445962786674
500,S1,1.3444062173366547,0.7099241688847542,0.0,0.6344820484519005
550,S1,0.8819621000438929,0.6115374304354191,0.0,0.2704246728681028
600,S1,0.707502344623208,0.5514792241156101,0.0,0.15602312190458179
650,S1,0.5858339741826057,0.46548663452267647,0.0,0.12034733616746962
700,S1,0.5129502443596721,0.4179786778986454,0.0,0.09497156902216375
750,S1,0.46487804781645536,0.38927854131907225,0.0,0.07559950440190732
800,S1,0.4471023762598634,0.38017433509230614,0.0,0.06692804303020239
850,S1,0.4230306437239051,0.36475141905248165,0.0,0.05827922548633069
900,S1,0.41686154529452324,0.36125905346125364,0.0,0.05560249066911638
950,S1,0.4042479582130909,0.3532496243715286,0.0,0.050998332910239697
1000,S1,0.39486891590058804,0.346881415694952,0.0,0.04798749927431345
1050,S1,0.3848055237904191,0.33967622835189104,0.0,0.045129294507205486
1100,S1,0.37707386538386345,0.3345900159329176,0.0,0.04248385049868375
1150,S1,0.3675346439704299,0.3257542075589299,0.0,0.041780440718866885
1200,S1,0.3608932076022029,0.3195249726995826,0.0,0.04136823583394289
1250,S1,0.3550366898998618,0.31547006126493216,0.0,0.03956663131248206
1300,S1,0.34816589020192623,0.3083314597606659,0.0,0.039834430906921625
